STATION,LATITUDE,LONGITUDE,ELEVATION,Est,Nor
USC00451484,48.9672,-122.3291,19.5,-1926767.750832655,3153246.486787748
USC00461220,38.98033,-80.22009,443.5,1348096.858353951,1884886.691293624
USC00470265,44.27703,-88.43772,241.4,601250.1289431173,2389139.363003128
USC00473405,44.11869,-89.53587,332.8,515285.6685624512,2365085.4398577646
USC00474546,42.8278,-90.7889,317.0,423410.4423208635,2215074.750663011
USC00475091,45.09828,-87.62358,179.5,657769.6915003917,2485663.0952438754
USC00476208,44.89186,-87.95491,201.2,633757.4830294413,2460527.2455808525
USC00477092,46.1222,-89.8772,491.3,473766.7143527691,2585688.3829636304
USC00478267,44.8799,-87.33578,213.1,682520.6075946407,2463488.645421832
USC00483855,44.2666,-105.4489,1368.6,-750918.3071497804,2401403.3454704327
USC00487760,43.03068,-108.37432,1510.3,-1000154.6503370918,2291336.691666526
USC00488160,44.8405,-106.8383,1143.0,-853613.0315754389,2476697.156543554
USW00012835,26.58495,-81.86146,3.8,1413624.9492348053,497361.5339867301
USW00012919,25.91459,-97.42314,5.7,-143913.5218068734,319435.66266843706
USW00013976,30.19859,-91.98957,10.8,385491.7998167229,799553.193474498
USW00014946,44.90452,-97.14957,530.6,-90646.76447664619,2435642.850744985
USW00023066,39.13437,-108.54081,1470.4,-1070922.8345922811,1860733.468247501
USW00023194,35.02795,-110.72206,1489.2,-1326793.068296356,1432903.9079671388
USW00024018,41.15788,-104.80814,1864.8,-732298.0949997202,2050628.4984571976
USW00024128,40.90178,-117.80812,1310.6,-1806327.8576880998,2196164.0305868546
USW00024157,47.62168,-117.52796,717.7,-1615429.3330174768,2920173.178652238
USW00093987,31.23593,-94.75468,87.1,118224.69039830044,907484.7946591412
USW00093992,33.22072,-92.81404,78.0,294996.09020651854,1132876.5535509922
USW00094967,46.89967,-95.06682,439.3,71409.83802280873,2656936.995647057
