station,location_est,location_lower,location_upper,location_se,scale_est,scale_lower,scale_upper,scale_se,shape_est,shape_lower,shape_upper,shape_se,nllh,method
USC00133584,575.0506548543148,521.1089824796549,628.9923272289747,27.521767134572347,200.30921195903318,159.08003872672361,241.53838519134274,21.035679001002077,0.08634993108511077,-0.1246946452739233,0.29739450744414486,0.10767778286934189,492.1685788215304,ismev_car_delta
USC00134561,553.6632897925524,502.1430681896694,605.1835113954354,26.286310365531182,198.2004073988391,159.73613841533466,236.66467638234354,19.624987646153553,0.06970078310037467,-0.1109091050671677,0.25031067126791706,0.09214959539673696,504.37049604733573,ismev_car_delta
USC00137161,542.4233245655173,498.3436918968638,586.5029572341708,22.490021763842627,162.6148660075375,126.80208500735418,198.42764700772082,18.272162796189104,0.2205197292019343,-0.013838915544730546,0.45487837394859915,0.1195729342963728,496.12505531161503,ismev_car_delta
USC00140365,476.6510181553256,433.2293535533379,520.0726827573133,22.154317602003026,163.2301786280624,130.81558529921162,195.64477195691316,16.538361717119784,-0.021023768913274357,-0.23209504533669145,0.1900475075101427,0.10769140560149086,493.30204829264864,ismev_car_delta
USC00141522,531.1999623901896,482.56193836722713,579.8379864131522,24.815774374740077,192.49361137487725,158.65859516177687,226.32862758797762,17.263080587187655,-0.06765850553781258,-0.20212224251231606,0.0668052314366909,0.06860520807276885,495.9221968433818,ismev_car_delta
USC00142432,414.4085847943787,381.0837700831988,447.7333995055587,17.00276891516468,125.57405121066282,98.30045087896002,152.8476515423656,13.915357908019475,0.25135890529428984,0.05074162380313585,0.4519761867854438,0.1023576367084281,465.36068186234615,ismev_car_delta
USC00142835,689.7426878654971,632.3510883656638,747.1342873653305,29.281966379245187,214.46189973129202,168.05202868673885,260.8717707758452,23.67894074106888,0.22868806776141776,0.022555232630652844,0.43482090289218267,0.10517174639774735,502.3211948267973,ismev_car_delta
USC00162534,958.3015010739416,875.1956552036322,1041.407346944251,42.40172091213804,317.81118729480517,254.43110219171808,381.19127239789225,32.33737232062482,0.10000043153998195,-0.0941750127281025,0.29417587580806637,0.09907092466989988,547.4681992846621,ismev_car_delta
USC00164674,930.6870744439304,860.204966587278,1001.1691823005829,35.96091990087896,267.4745406328191,210.57800083549557,324.3710804301427,29.029380257043613,0.21411521969969488,0.0028485814824087685,0.425381857916981,0.10779108181769179,539.5290140998961,ismev_car_delta
USC00170814,443.71186538267386,411.98142069689976,475.44231006844797,16.18929987288531,120.4958887836769,96.40341771402049,144.58835985333332,12.292302950306619,0.07962612533852045,-0.12335400504415606,0.28260625572119696,0.10356319400956239,474.9472875763366,ismev_car_delta
USC00181790,541.1942488209397,496.4623634418249,585.9261342000545,22.822809874035578,171.0012120238587,136.94356086847353,205.05886317924387,17.376671930723,0.10853773932247238,-0.08023598832681164,0.29731146697175637,0.09631489616049435,495.1565290011526,ismev_car_delta
USC00186620,485.41701998722215,448.5681043849696,522.2659355894747,18.800812613350093,138.935136906439,108.49966782021225,169.37060599266573,15.528585895607188,0.2724056921493348,0.07216621888165994,0.4726451654170096,0.10216487386867225,473.399082590179,ismev_car_delta
USC00192451,663.6919429415444,614.2725216408253,713.1113642422636,25.21445378105581,189.3067261551368,151.01306644756744,227.60038586270616,19.5379404976953,0.13987907010649764,-0.057216889975915064,0.33697503018891034,0.1005610111395314,510.9030920990276,ismev_car_delta
USC00200146,465.17350441120374,433.30817515042895,497.0388336719785,16.258119798182243,125.70762042204188,100.2389103727134,151.17633047137036,12.994478597679556,0.2286359870653676,0.0646235524859505,0.39264842164478475,0.08368135122539308,484.1992401791301,ismev_car_delta
USC00200230,441.9054867263079,406.4285134197978,477.382460032818,18.10082919193819,141.80435053583795,112.18080204451084,171.42789902716507,15.114333082135126,0.31416295714750164,0.1691149406596985,0.4592109736353048,0.07400544991230626,489.90768948504876,ismev_car_delta
