LATITUDE,LONGITUDE,ELEVATION,loc,scale,shape
59.55,-133.95,-32768,465.84967,3.639841,0.13677537
59.55,-133.65,-32768,448.5808,3.5857098,0.13677537
59.55,-133.35,-32768,470.60938,3.6541975,0.13677537
59.55,-133.04999999999998,-32768,478.05325,3.677226,0.13677537
59.55,-132.75,-32768,432.2059,3.5340543,0.13677537
59.55,-132.45,-32768,437.63696,3.5509155,0.13677537
59.55,-132.15,-32768,439.33203,3.5561721,0.13677537
59.55,-131.85,-32768,439.17676,3.5557575,0.13677537
59.55,-131.54999999999998,-32768,422.5041,3.5039067,0.13677537
59.55,-131.25,-32768,381.28644,3.3756258,0.13677537
59.55,-130.95,-32768,331.09326,3.2194383,0.13677537
59.55,-130.65,-32768,320.00436,3.1853168,0.13677537
59.55,-130.35,-32768,374.88742,3.356966,0.13677537
59.55,-130.04999999999998,-32768,364.0675,3.3236926,0.13677537
59.55,-129.75,-32768,374.41687,3.3564255,0.13677537
59.55,-129.45,-32768,399.04413,3.433746,0.13677537
59.55,-129.15,-32768,419.11438,3.4968529,0.13677537
59.55,-128.85,-32768,409.16205,3.466385,0.13677537
59.55,-128.54999999999998,-32768,396.07742,3.4261758,0.13677537
59.55,-128.25,-32768,416.82803,3.4915912,0.13677537
59.55,-127.95,-32768,413.26123,3.4811974,0.13677537
59.55,-127.65,-32768,424.6307,3.517449,0.13677537
59.55,-127.35,-32768,453.29736,3.6077008,0.13677537
59.55,-127.05,-32768,480.56454,3.6935923,0.13677537
59.55,-126.75,-32768,451.77728,3.6047404,0.13677537
59.55,-126.45,-32768,450.224,3.600875,0.13677537
59.55,-126.15,-32768,434.8642,3.5540094,0.13677537
59.55,-125.85,-32768,387.98608,3.4088933,0.13677537
59.55,-125.55,-32768,377.8543,3.3785088,0.13677537
59.55,-125.25,-32768,385.31287,3.4030542,0.13677537
59.55,-124.95,-32768,434.472,3.5577648,0.13677537
59.55,-124.65,-32768,401.28784,3.4556806,0.13677537
59.55,-124.35,-32768,405.82925,3.4713173,0.13677537
59.55,-124.05,-32768,404.74954,3.4694686,0.13677537
59.55,-123.75,-32768,438.8363,3.5773377,0.13677537
59.55,-123.45,-32768,455.85547,3.631992,0.13677537
59.55,-123.15,-32768,413.54852,3.5016618,0.13677537
59.55,-122.85,-32768,416.7493,3.5133607,0.13677537
59.55,-122.55,-32768,368.08627,3.363392,0.13677537
59.55,-122.25,-32768,341.89587,3.2837257,0.13677537
59.55,-121.95,-32768,333.35565,3.2592509,0.13677537
59.55,-121.65,-32768,339.74136,3.2814305,0.13677537
59.55,-121.35,-32768,361.17612,3.3506677,0.13677537
59.55,-121.05,-32768,352.6365,3.326482,0.13677537
59.55,-120.75,-32768,363.6247,3.3633204,0.13677537
59.55,-120.45,-32768,362.5614,3.3626688,0.13677537
59.55,-120.15,-32768,358.69162,3.353336,0.13677537
59.55,-119.85,-32768,344.85052,3.312987,0.13677537
59.55,-119.55,-32768,335.98102,3.2882867,0.13677537
59.55,-119.25,-32768,338.84692,3.3002298,0.13677537
59.55,-118.95,-32768,325.5095,3.2616668,0.13677537
59.55,-118.65,-32768,335.6911,3.2965798,0.13677537
59.55,-118.35,-32768,328.2812,3.2766826,0.13677537
59.55,-118.05,-32768,316.3672,3.2427995,0.13677537
59.55,-117.75,-32768,315.5568,3.2436345,0.13677537
59.55,-117.45,-32768,339.03784,3.3202956,0.13677537
59.55,-117.15,-32768,345.04684,3.342564,0.13677537
59.55,-116.85,-32768,351.06284,3.3648431,0.13677537
59.55,-116.55,-32768,364.8766,3.4115908,0.13677537
59.55,-116.25,-32768,344.98526,3.353263,0.13677537
59.55,-115.95,-32768,316.80847,3.26923,0.13677537
59.55,-115.65,-32768,249.81677,3.064238,0.13677537
59.55,-115.35,-32768,267.65292,3.1240005,0.13677537
59.55,-115.05,-32768,267.7674,3.1285558,0.13677537
59.55,-114.75,-32768,234.54883,3.0292816,0.13677537
59.55,-114.45,-32768,222.96713,2.9976342,0.13677537
59.55,-114.15,-32768,241.22423,3.0591135,0.13677537
59.55,-113.85,-32768,234.94978,3.0441568,0.13677537
59.55,-113.55,-32768,231.01785,3.0365317,0.13677537
59.55,-113.25,-32768,218.04742,3.0007858,0.13677537
59.55,-112.95,-32768,199.59091,2.9480162,0.13677537
59.55,-112.65,-32768,157.33667,2.8211248,0.13677537
59.55,-112.35,-32768,140.26857,2.7728515,0.13677537
59.55,-112.05,-32768,155.18788,2.8243806,0.13677537
