STATION,Year,LATITUDE,LONGITUDE,ELEVATION,PRCP,SNOW,SNWD,TMAX,TMIN
USC00112140,1976,40.1391,-87.6479,169.2,399.0,140.0,152.0,356.0,228.0
USC00112140,1977,40.1391,-87.6479,169.2,1110.0,89.0,178.0,361.0,233.0
USC00112140,1978,40.1391,-87.6479,169.2,828.0,117.0,254.0,356.0,239.0
USC00112140,1979,40.1391,-87.6479,169.2,1077.0,180.0,229.0,339.0,244.0
USC00112140,1980,40.1391,-87.6479,169.2,886.0,211.0,127.0,389.0,256.0
USC00112140,1981,40.1391,-87.6479,169.2,615.0,140.0,127.0,356.0,239.0
USC00112140,1982,40.1391,-87.6479,169.2,594.0,259.0,152.0,333.0,244.0
USC00112140,1983,40.1391,-87.6479,169.2,572.0,163.0,152.0,383.0,233.0
USC00112140,1984,40.1391,-87.6479,169.2,747.0,152.0,203.0,350.0,250.0
USC00112140,1985,40.1391,-87.6479,169.2,610.0,64.0,203.0,339.0,256.0
USC00112140,1986,40.1391,-87.6479,169.2,467.0,99.0,152.0,356.0,239.0
USC00112140,1987,40.1391,-87.6479,169.2,462.0,175.0,229.0,356.0,261.0
USC00112140,1988,40.1391,-87.6479,169.2,345.0,165.0,178.0,389.0,256.0
USC00112140,1989,40.1391,-87.6479,169.2,635.0,193.0,203.0,356.0,278.0
USC00112140,1990,40.1391,-87.6479,169.2,622.0,51.0,152.0,350.0,244.0
USC00112140,1991,40.1391,-87.6479,169.2,617.0,127.0,178.0,361.0,256.0
USC00112140,1992,40.1391,-87.6479,169.2,942.0,64.0,76.0,361.0,272.0
USC00112140,1993,40.1391,-87.6479,169.2,615.0,102.0,203.0,328.0,267.0
USC00112140,1994,40.1391,-87.6479,169.2,996.0,89.0,127.0,361.0,267.0
USC00112140,1995,40.1391,-87.6479,169.2,955.0,46.0,51.0,367.0,256.0
USC00112140,1996,40.1391,-87.6479,169.2,879.0,102.0,279.0,350.0,261.0
USC00112140,1997,40.1391,-87.6479,169.2,523.0,155.0,203.0,350.0,267.0
USC00112140,1998,40.1391,-87.6479,169.2,676.0,33.0,25.0,350.0,256.0
USC00112140,1999,40.1391,-87.6479,169.2,434.0,152.0,330.0,356.0,256.0
USC00112140,2000,40.1391,-87.6479,169.2,462.0,127.0,152.0,361.0,233.0
USC00112140,2001,40.1391,-87.6479,169.2,645.0,165.0,279.0,339.0,239.0
USC00112140,2002,40.1391,-87.6479,169.2,848.0,0.0,178.0,356.0,233.0
USC00112140,2003,40.1391,-87.6479,169.2,940.0,152.0,152.0,350.0,239.0
USC00112140,2004,40.1391,-87.6479,169.2,925.0,102.0,102.0,322.0,239.0
USC00112140,2005,40.1391,-87.6479,169.2,480.0,102.0,102.0,350.0,256.0
USC00112140,2006,40.1391,-87.6479,169.2,640.0,0.0,152.0,339.0,244.0
USC00112140,2007,40.1391,-87.6479,169.2,792.0,191.0,356.0,356.0,244.0
USC00112140,2008,40.1391,-87.6479,169.2,980.0,140.0,152.0,322.0,233.0
USC00112140,2009,40.1391,-87.6479,169.2,536.0,127.0,152.0,344.0,233.0
USC00112140,2010,40.1391,-87.6479,169.2,589.0,140.0,152.0,356.0,250.0
USC00112140,2011,40.1391,-87.6479,169.2,490.0,140.0,178.0,372.0,250.0
